Version,K,Dataset_Size,Avg_Iterations,Avg_Time_Sec,Processos
MPI + OpenMP,2,4810772,8.0,0.493367,2
MPI + OpenMP,3,4810772,33.0,2.914097,2
MPI + OpenMP,4,4810772,30.0,3.007267,2
MPI + OpenMP,6,4810772,44.0,6.274787,2
MPI + OpenMP,7,4810772,73.0,11.130400,2
MPI + OpenMP,9,4810772,52.0,9.852560,2
MPI + OpenMP,11,4810772,35.0,8.935460,2
MPI + OpenMP,13,4810772,77.0,22.507800,2
MPI + OpenMP,2,4810772,8.0,0.062945,4
MPI + OpenMP,3,4810772,33.0,0.286406,4
MPI + OpenMP,4,4810772,30.0,0.301507,4
MPI + OpenMP,6,4810772,44.0,0.524707,4
MPI + OpenMP,7,4810772,73.0,0.868963,4
MPI + OpenMP,9,4810772,52.0,0.718078,4
MPI + OpenMP,11,4810772,35.0,0.584030,4
MPI + OpenMP,13,4810772,77.0,1.360840,4
MPI + OpenMP,2,4810772,8.0,0.028612,8
MPI + OpenMP,3,4810772,33.0,0.138341,8
MPI + OpenMP,4,4810772,30.0,0.135605,8
MPI + OpenMP,6,4810772,44.0,0.265496,8
MPI + OpenMP,7,4810772,73.0,0.403497,8
MPI + OpenMP,9,4810772,52.0,0.343255,8
MPI + OpenMP,11,4810772,35.0,0.294206,8
MPI + OpenMP,13,4810772,77.0,0.722666,8
MPI + OpenMP,2,4810772,8.0,0.010319,16
MPI + OpenMP,3,4810772,33.0,0.042900,16
MPI + OpenMP,4,4810772,30.0,0.043707,16
MPI + OpenMP,6,4810772,44.0,0.096394,16
MPI + OpenMP,7,4810772,73.0,0.151708,16
MPI + OpenMP,9,4810772,52.0,0.164564,16
MPI + OpenMP,11,4810772,35.0,0.123281,16
MPI + OpenMP,13,4810772,77.0,0.314882,16
